Start Time,Lat,Long,Velocity,Time ,Time Offset,
13:25:21,37.4257821,-122.1644127,0.145686,4.28877E+14,0,0.999997687
13:25:21,37.42577688,-122.1644118,0,4.28878E+14,991870567,
13:25:21,37.425778,-122.1644117,0.220305,4.28878E+14,991870567,
13:25:22,37.42578107,-122.1644036,0.72,4.28879E+14,1997788845,
13:25:22,37.4257812,-122.1644048,0.69934,4.28879E+14,1997788845,
13:25:21,37.4258912,-122.1645722,,4.28878E+14,926347009,
13:25:24,37.42579743,-122.1643996,1.98,4.2888E+14,3002490507,
13:25:24,37.4257936,-122.1644003,1.938786,4.2888E+14,3002490507,
13:25:25,37.42581168,-122.1643992,1.89,4.28881E+14,4007660347,
13:25:25,37.4258114,-122.1643985,1.891473,4.28881E+14,4007660347,
13:25:25,37.42583543,-122.1643937,3.04,4.28882E+14,4987609142,
13:25:25,37.4258266,-122.1643959,2.824623,4.28882E+14,4987609142,
13:25:27,37.42585772,-122.164394,2.4,4.28883E+14,6005830963,
13:25:27,37.4258555,-122.164393,2.426667,4.28883E+14,6005830963,
13:25:28,37.42589094,-122.1643905,3.53,4.28884E+14,7009528979,
13:25:28,37.4258866,-122.164392,3.505707,4.28884E+14,7009528979,
13:25:28,37.42592254,-122.1643875,3.45,4.28885E+14,7998807776,
13:25:28,37.4259164,-122.1643889,3.455579,4.28885E+14,7998807776,
13:25:30,37.42595209,-122.1643859,3.28,4.28886E+14,9012980064,
13:25:30,37.4259503,-122.1643857,3.386697,4.28886E+14,9012980064,
13:25:31,37.42598335,-122.1643853,3.53,4.28887E+14,10003543496,
13:25:30,37.4259599,-122.1643815,3.212489,4.28887E+14,9591206154,
13:25:31,37.4259863,-122.1643824,3.502612,4.28888E+14,10789482560,
13:25:32,37.42601611,-122.1643872,3.47,4.28888E+14,11002774377,
13:25:32,37.4260148,-122.1643862,3.480506,4.28889E+14,11388632091,
13:25:33,37.42604815,-122.1643916,3.47,4.28889E+14,12003327966,
13:25:32,37.4260374,-122.1643903,3.480813,4.28889E+14,11987759331,
13:25:34,37.4260788,-122.1643952,3.39,4.2889E+14,13002406920,
13:25:33,37.4260674,-122.1643965,3.471923,4.2889E+14,12586894904,
13:25:35,37.4261239,-122.1643911,5.39,4.28891E+14,14010345354,
13:25:34,37.4261021,-122.164399,3.397932,4.28891E+14,13785219956,
13:25:35,37.42615064,-122.1643852,3,4.28892E+14,14997173994,
13:25:35,37.4261524,-122.1643892,5.167436,4.28892E+14,14983516050,
13:25:27,37.426046,-122.1644662,,4.28884E+14,6480347009,
13:25:36,37.4261733,-122.1643794,3,4.28893E+14,15582654644,
13:25:36,37.42618483,-122.1643861,2.83,4.28893E+14,15992050030,
13:25:37,37.426188,-122.1643808,2.879906,4.28894E+14,16094347009,
13:25:37,37.42621481,-122.1643767,3.62,4.28894E+14,16998418412,
13:25:37,37.4262105,-122.1643802,2.834859,4.28894E+14,16661149644,
13:25:38,37.4262215,-122.1643778,3.418566,4.28895E+14,17260313394,
13:25:38,37.4262392,-122.1643721,3.565951,4.28895E+14,17797347009,
13:25:39,37.42624103,-122.1643613,3.06,4.28895E+14,18005884241,
13:25:39,37.426254,-122.164361,3.183747,4.28896E+14,18334347009,
13:25:40,37.42628209,-122.1643494,3.91,4.28896E+14,19005751685,
13:25:39,37.426272,-122.1643477,3.083425,4.28896E+14,18937889435,
13:25:40,37.4263003,-122.1643441,3.833192,4.28897E+14,19537040477,
13:25:41,37.42631295,-122.1643406,3.55,4.28897E+14,20001203867,
13:25:41,37.4263306,-122.1643374,3.584118,4.28898E+14,20640347009,
13:25:41,37.42635178,-122.1643231,4.02,4.28898E+14,20999391102,
13:25:42,37.426356,-122.1643254,3.683577,4.28899E+14,21214702612,
13:25:43,37.42638856,-122.1643261,3.57,4.28899E+14,22007279692,
13:25:42,37.4263731,-122.1643193,3.798979,4.28899E+14,21813823341,
13:25:43,37.426399,-122.1643233,3.688117,4.289E+14,22412967873,
13:25:44,37.42640982,-122.1643432,3.07,4.289E+14,23009380417,
13:25:44,37.4264074,-122.1643324,3.596275,4.289E+14,23009380417,
13:25:44,37.4264218,-122.1643459,3.489799,4.28901E+14,23535347009,
13:25:45,37.42643074,-122.1643666,3.72,4.28901E+14,24006152756,
13:25:45,37.4264349,-122.1643641,3.422405,4.28902E+14,24090624383,
13:25:45,37.4264472,-122.1643819,3.482051,4.28902E+14,24689749435,
13:25:46,37.42644888,-122.1644148,5.19,4.28902E+14,25001051761,
13:25:46,37.4264552,-122.1644085,3.705488,4.28903E+14,25213347009,
13:25:46,37.4264682,-122.164442,3.89425,4.28903E+14,25768210529,
13:25:47,37.42646053,-122.1644681,5.37,4.28903E+14,26005779726,
13:25:47,37.4264608,-122.16446,4.005316,4.28903E+14,26005779726,
13:25:48,37.42647321,-122.1645257,5.9,4.28904E+14,27008339878,
13:25:48,37.4264711,-122.1645265,5.125762,4.28904E+14,27008339878,
13:25:49,37.42648579,-122.1645873,5.94,4.28905E+14,28007376644,
13:25:49,37.4264849,-122.1645911,5.760294,4.28905E+14,28007376644,
13:25:49,37.42650443,-122.1646498,6.15,4.28906E+14,28998310961,
13:25:49,37.4265011,-122.1646519,5.783874,4.28906E+14,28998310961,
13:25:51,37.42651952,-122.1647146,6.13,4.28907E+14,30005947364,
13:25:51,37.4265172,-122.1647157,5.869011,4.28907E+14,30005947364,
13:25:52,37.42652907,-122.1647785,6.08,4.28908E+14,31007920172,
13:25:52,37.426528,-122.1647807,5.960249,4.28908E+14,31007920172,
13:25:53,37.42654171,-122.1648444,5.98,4.28909E+14,32003302980,
13:25:53,37.42654,-122.1648455,5.972178,4.28909E+14,32003302980,
13:25:53,37.42655735,-122.1649103,6.1,4.2891E+14,32999078964,
13:25:53,37.4265554,-122.1649105,6.021154,4.2891E+14,32999078964,
13:25:55,37.42658231,-122.1649754,6.21,4.28911E+14,34012235159,
13:25:55,37.4265783,-122.1649755,6.094106,4.28911E+14,34012235159,
13:25:56,37.42660734,-122.1650373,6.02,4.28912E+14,35000327184,
13:25:56,37.4266031,-122.1650378,6.08621,4.28912E+14,35000327184,
13:25:57,37.42662296,-122.1651022,5.91,4.28913E+14,36005395930,
13:25:57,37.4266229,-122.1651019,5.998429,4.28913E+14,36005395930,
13:25:58,37.4266388,-122.1651666,6,4.28914E+14,37005321603,
13:25:58,37.4266402,-122.1651661,5.98823,4.28914E+14,37005321603,
13:25:59,37.42665131,-122.1652281,5.66,4.28915E+14,38000829254,
13:25:59,37.4266551,-122.1652289,5.810487,4.28915E+14,38000829254,
13:26:00,37.4266685,-122.1652895,5.95,4.28916E+14,39005047687,
13:26:00,37.4266696,-122.1652912,5.923538,4.28916E+14,39005047687,
13:26:01,37.42668386,-122.1653522,5.69,4.28917E+14,40000750026,
13:26:01,37.4266843,-122.1653536,5.735384,4.28917E+14,40000750026,
13:26:02,37.42669763,-122.1654186,6.32,4.28918E+14,41015173409,
13:26:02,37.426697,-122.1654186,6.046654,4.28918E+14,41015173409,
13:26:02,37.42670846,-122.1654823,5.73,4.28919E+14,41997776892,
13:26:02,37.4267099,-122.1654823,5.770261,4.28919E+14,41997776892,
13:26:02,37.4265,-122.165869,,4.28918E+14,41038347009,
13:26:04,37.42671965,-122.1655467,5.91,4.2892E+14,43007148659,
13:26:04,37.426726,-122.1655759,5.882183,4.2892E+14,43007148659,
13:26:05,37.42672242,-122.1656085,5.43,4.28921E+14,44002039227,
13:26:05,37.4267306,-122.1656249,5.510005,4.28921E+14,44002039227,
13:26:06,37.42674256,-122.1656644,5.34,4.28922E+14,45009746567,
13:26:06,37.4267396,-122.1656763,5.406104,4.28922E+14,45009746567,
13:26:07,37.42677871,-122.1657141,6.77,4.28923E+14,46002515884,
13:26:07,37.4267695,-122.1657236,6.398117,4.28923E+14,46002515884,
13:26:08,37.42681293,-122.1657704,5.91,4.28924E+14,47001918744,
13:26:08,37.4268104,-122.1657734,6.082067,4.28924E+14,47001918744,
13:26:09,37.42684127,-122.1658149,5.12,4.28925E+14,48004424574,
13:26:09,37.4268429,-122.16582,5.467441,4.28925E+14,48004424574,
13:26:10,37.4268743,-122.1658656,5.577652,4.28926E+14,49006298007,
13:26:10,37.42687391,-122.1658629,5.67,4.28926E+14,49006298007,
13:26:10,37.42690439,-122.1659189,6.3,4.28927E+14,49996555762,
13:26:10,37.4269061,-122.1659165,5.915461,4.28927E+14,49996555762,
13:26:12,37.42692582,-122.1659702,4.86,4.28928E+14,51007356852,
13:26:12,37.4269305,-122.1659694,5.213329,4.28928E+14,51007356852,
13:26:13,37.4269412,-122.1660234,5.26,4.28929E+14,52001070076,
13:26:13,37.4269451,-122.1660235,5.226263,4.28929E+14,52001070076,
13:26:13,37.42695584,-122.166075,5.2,4.2893E+14,52999067050,
13:26:13,37.4269566,-122.166078,5.202056,4.2893E+14,52999067050,
13:26:15,37.42696731,-122.1661353,5.3,4.28931E+14,54003941213,
13:26:15,37.4269677,-122.1661355,5.288713,4.28931E+14,54003941213,
13:26:16,37.4269737,-122.1661969,5.8,4.28932E+14,55003328135,
13:26:16,37.4269758,-122.1661957,5.690746,4.28932E+14,55003328135,
13:26:17,37.42697883,-122.1662493,4.82,4.28933E+14,56003439120,
13:26:17,37.4269816,-122.1662544,5.335807,4.28933E+14,56003439120,
13:26:18,37.42698671,-122.166319,6.33,4.28934E+14,57004508231,
13:26:18,37.4269883,-122.1663178,5.850315,4.28934E+14,57004508231,
13:26:19,37.42699769,-122.1663869,6.27,4.28935E+14,58000076819,
13:26:19,37.4269977,-122.1663854,6.04892,4.28935E+14,58000076819,
13:26:20,37.42701321,-122.1664623,6.44,4.28936E+14,59008228586,
13:26:20,37.4270116,-122.1664584,6.402331,4.28936E+14,59008228586,
13:26:21,37.42703659,-122.1665301,6.37,4.28937E+14,60005644050,
13:26:21,37.4270321,-122.1665285,6.371753,4.28937E+14,60005644050,
13:26:22,37.42705917,-122.1666009,6.57,4.28938E+14,61003738056,
13:26:22,37.4270575,-122.1665971,6.494128,4.28938E+14,61003738056,
13:26:23,37.42707872,-122.1666631,5.88,4.28939E+14,62004008572,
13:26:23,37.4270788,-122.1666639,6.112595,4.28939E+14,62004008572,
13:26:24,37.42709501,-122.1667261,6.18,4.2894E+14,63000054401,
13:26:24,37.4270964,-122.1667276,6.110199,4.2894E+14,63000054401,
13:26:24,37.42711136,-122.1667905,6,4.28941E+14,63998627052,
13:26:24,37.4271117,-122.1667921,6.011131,4.28941E+14,63998627052,
13:26:26,37.4271268,-122.1668519,5.51,4.28942E+14,65003979340,
13:26:26,37.4271262,-122.1668545,5.539457,4.28942E+14,65003979340,
13:26:27,37.42714134,-122.1669124,5.72,4.28943E+14,66006648711,
13:26:27,37.4271397,-122.1669142,5.653596,4.28943E+14,66006648711,
13:26:28,37.42715562,-122.1669785,5.81,4.28944E+14,67011728707,
13:26:28,37.4271539,-122.1669777,5.788527,4.28944E+14,67011728707,
13:26:29,37.42716533,-122.167048,5.68,4.28945E+14,68002584482,
13:26:29,37.4271654,-122.1670456,5.683497,4.28945E+14,68002584482,
13:26:29,37.4271775,-122.1671167,6.32,4.28946E+14,68989301299,
13:26:29,37.427176,-122.1671142,6.296145,4.28946E+14,68989301299,
13:26:31,37.42718901,-122.1671842,6.15,4.28947E+14,70011157860,
13:26:31,37.4271884,-122.1671847,6.150801,4.28947E+14,70011157860,
13:26:31,37.42719947,-122.1672459,5.81,4.28948E+14,70999554156,
13:26:31,37.427199,-122.167248,5.810785,4.28948E+14,70999554156,
13:26:32,37.42721493,-122.1673138,6.24,4.28949E+14,71992417849,
13:26:32,37.4272135,-122.1673131,6.227407,4.28949E+14,71992417849,
13:26:34,37.42722832,-122.1673773,5.97,4.2895E+14,73005356335,
13:26:34,37.4272288,-122.1673785,5.980191,4.2895E+14,73005356335,
13:26:34,37.42724437,-122.1674412,5.82,4.28951E+14,73993947579,
13:26:34,37.4272436,-122.1674419,5.83284,4.28951E+14,73993947579,
13:26:35,37.427254,-122.1675027,5.56,4.28952E+14,74999921586,
13:26:35,37.4272544,-122.1675038,5.575654,4.28952E+14,74999921586,
13:26:36,37.42727059,-122.1675627,5.1,4.28953E+14,75995523924,
13:26:36,37.4272688,-122.1675634,5.104293,4.28953E+14,75995523924,
13:26:37,37.42727991,-122.1676136,4.55,4.28954E+14,76995120118,
13:26:37,37.4272802,-122.1676154,4.579569,4.28954E+14,76995120118,
13:26:39,37.42730959,-122.1676726,5.34,4.28955E+14,78002933604,
13:26:39,37.4273035,-122.1676676,5.292447,4.28955E+14,78002933604,
13:26:40,37.42732576,-122.1677204,4.8,4.28956E+14,79010949433,
13:26:40,37.4273228,-122.1677085,4.909251,4.28956E+14,79010949433,
13:26:40,37.42734003,-122.1677699,4.09,4.28957E+14,79990097812,
13:26:40,37.4273402,-122.1677658,4.106242,4.28957E+14,79990097812,
13:26:41,37.42734692,-122.1678159,3.9,4.28958E+14,80992986610,
13:26:41,37.4273463,-122.1678103,3.924355,4.28958E+14,80992986610,
13:26:43,37.42735852,-122.1678571,3.79,4.28959E+14,82010347961,
13:26:43,37.4273536,-122.167842,3.811405,4.28959E+14,82010347961,
13:26:44,37.42736802,-122.1678949,3.43,4.2896E+14,83003242435,
13:26:44,37.4273679,-122.16789,3.431449,4.2896E+14,83003242435,
13:26:44,37.42737743,-122.1679167,2.15,4.28961E+14,83999342326,
13:26:44,37.4273758,-122.1679157,3.282516,4.28961E+14,83999342326,
13:26:46,37.42737399,-122.1679772,5.53,4.28962E+14,85000455290,
13:26:45,37.4273838,-122.1679396,2.529501,4.28962E+14,84694809675,
13:26:46,37.4273814,-122.1679751,3.599349,4.28963E+14,85293927956,
13:26:46,37.42737567,-122.1680184,4.27,4.28963E+14,85997776431,
13:26:46,37.4273799,-122.1680084,4.291456,4.28963E+14,85893068790,
13:26:47,37.4273799,-122.1680588,4.477807,4.28964E+14,86492247331,
13:26:48,37.42738337,-122.1680597,3.97,4.28964E+14,87011299657,
13:26:48,37.4273807,-122.1680609,4.418649,4.28964E+14,87011299657,
13:26:48,37.4273845,-122.1680938,4.260095,4.28965E+14,87570741863,
13:26:49,37.42738778,-122.1681004,4.28,4.28965E+14,88000333350,
13:26:49,37.4273899,-122.16812,4.147757,4.28966E+14,88169862227,
13:26:49,37.4273949,-122.168142,4.182216,4.28966E+14,88768990613,
13:26:50,37.42738932,-122.1681446,3.96,4.28966E+14,89002673762,
13:26:50,37.4273971,-122.1681693,4.11511,4.28967E+14,89368145092,
13:26:51,37.4273917,-122.1681851,3.36,4.28967E+14,90008198289,
